"","Contributor","Total","PACs","Individuals","Senator"
"5624","Jim Wilson & Assoc","$16620","$0","$16620","Barry Moore"
"5625","Club for Growth","$11600","$0","$11600","Barry Moore"
"5626","American Crystal Sugar","$10000","$10000","$0","Barry Moore"
"5627","Eye of the Tiger PAC","$10000","$10000","$0","Barry Moore"
"5628","Majority Cmte PAC","$10000","$10000","$0","Barry Moore"
"5629","Regions Financial","$10000","$10000","$0","Barry Moore"
"5630","Southern Co","$10000","$10000","$0","Barry Moore"
"5631","Veterans United Home Loans","$8800","$0","$8800","Barry Moore"
"5632","Farm Credit Council","$8500","$8500","$0","Barry Moore"
"5633","No Labels","$70250","$5000","$65250","Blake Moore"
"5634","Es3","$52200","$0","$52200","Blake Moore"
"5635","American Israel Public Affairs Cmte","$32300","$10000","$22300","Blake Moore"
"5636","Cache Valley Electric","$24200","$0","$24200","Blake Moore"
"5637","Boyer Co","$23200","$0","$23200","Blake Moore"
"5638","Zions Bancorp","$22800","$2500","$20300","Blake Moore"
"5639","ES3 Inc","$20800","$15000","$5800","Blake Moore"
"5640","Gardner Co","$19400","$0","$19400","Blake Moore"
"5641","L3Harris Technologies","$17500","$17500","$0","Blake Moore"
"5642","Davis School District","$17400","$0","$17400","Blake Moore"
"5643","Rock Holdings","$24800","$9000","$15800","Gwen Moore"
"5644","American Council of Life Insurers","$12900","$10000","$2900","Gwen Moore"
"5645","Northwestern Mutual","$12900","$10000","$2900","Gwen Moore"
"5646","Intrafi Network","$11400","$0","$11400","Gwen Moore"
"5647","Carlyle Group","$11000","$10000","$1000","Gwen Moore"
"5648","PriceWaterhouseCoopers","$10250","$10000","$250","Gwen Moore"
"5649","American Assn for Justice","$10000","$10000","$0","Gwen Moore"
"5650","American Federation of State/Cnty/Munic Employees","$10000","$10000","$0","Gwen Moore"
"5651","American Federation of Teachers","$10000","$10000","$0","Gwen Moore"
"5652","American Hospital Assn","$10000","$10000","$0","Gwen Moore"
"5653","Grand Gate Strategies","$5000","$0","$5000","John Moore"
"5654","Aspen Mountain Homes","$2800","$0","$2800","John Moore"
"5655","Janice Purdy","$2800","$0","$2800","John Moore"
"5656","Celltrust Corp","$500","$0","$500","John Moore"
"5657","State of Arizona","$450","$0","$450","John Moore"
"5658","Breakthru Beverage Group","$313","$0","$313","John Moore"
"5659","APCO Worldwide","$300","$0","$300","John Moore"
"5660","Grand Canyon Railway","$300","$0","$300","John Moore"
"5661","City of Los Angeles, CA","$250","$0","$250","John Moore"
"5662","Titan Development","$8700","$0","$8700","Mark Moores"
"5663","Jalapeno Corp","$5800","$0","$5800","Mark Moores"
"5664","T-Bird Inc","$5800","$0","$5800","Mark Moores"
"5665","American Society of Anesthesiologists","$5000","$5000","$0","Mark Moores"
"5666","Huck PAC","$5000","$5000","$0","Mark Moores"
"5667","PNM Resources","$5000","$5000","$0","Mark Moores"
"5668","State of New Mexico","$3150","$0","$3150","Mark Moores"
"5669","Santo Petroleum","$3025","$0","$3025","Mark Moores"
"5670","50 State","$2900","$0","$2900","Mark Moores"
"5671","Bayless Drilling Co","$2900","$0","$2900","Mark Moores"
"5672","Votesane PAC","$129925","$0","$129925","Jerry Moran"
"5673","American Israel Public Affairs Cmte","$67000","$10000","$57000","Jerry Moran"
"5674","DISH Network","$43600","$10000","$33600","Jerry Moran"
"5675","Apollo Global Management","$36800","$0","$36800","Jerry Moran"
"5676","Cox Enterprises","$31950","$7000","$24950","Jerry Moran"
"5677","Comcast Corp","$26400","$10000","$16400","Jerry Moran"
"5678","NorPAC","$24800","$0","$24800","Jerry Moran"
"5679","NextEra Energy","$24500","$7500","$17000","Jerry Moran"
"5680","GEO Group","$24000","$0","$24000","Jerry Moran"
"5681","Berkshire Hathaway","$23050","$5000","$18050","Jerry Moran"
"5682","Bushala Brothers","$1500","$0","$1500","Elizabeth Moreira"
"5683","Alphabet Inc","$500","$0","$500","Elizabeth Moreira"
"5684","Musd","$500","$0","$500","Elizabeth Moreira"
"5685","Windermere Real Estate","$500","$0","$500","Elizabeth Moreira"
"5686","Bender Consulting Services","$410","$0","$410","Elizabeth Moreira"
"5687","Busboys & Poets","$250","$0","$250","Elizabeth Moreira"
"5688","L3Harris Technologies","$39550","$15000","$24550","Joseph D Morelle"
"5689","American Israel Public Affairs Cmte","$35800","$10000","$25800","Joseph D Morelle"
"5690","Rochester Regional Health","$29700","$0","$29700","Joseph D Morelle"
"5691","Constellation Brands","$27500","$10000","$17500","Joseph D Morelle"
"5692","University of Rochester","$23575","$0","$23575","Joseph D Morelle"
"5693","Lechase Construction","$16800","$0","$16800","Joseph D Morelle"
"5694","Carlyle Group","$16500","$15000","$1500","Joseph D Morelle"
"5695","Ostroff Assoc","$15850","$0","$15850","Joseph D Morelle"
"5696","American Federation of Teachers","$15000","$15000","$0","Joseph D Morelle"
"5697","Bricklayers Union","$15000","$15000","$0","Joseph D Morelle"
"5698","CrossCountry Mortgage","$33600","$0","$33600","Bernie Moreno"
"5699","Majestic Steel Usa","$20300","$0","$20300","Bernie Moreno"
"5700","Dream Motor Group","$17400","$0","$17400","Bernie Moreno"
"5701","Malibu Broadcasting","$14500","$0","$14500","Bernie Moreno"
"5702","Peterson Automotive Collection","$14500","$0","$14500","Bernie Moreno"
"5703","Rusnak Auto Group","$14500","$0","$14500","Bernie Moreno"
"5704","Yacht Sales Broker","$14500","$0","$14500","Bernie Moreno"
"5705","Dealer Tire","$11600","$0","$11600","Bernie Moreno"
"5706","Green Circle Growers","$11600","$0","$11600","Bernie Moreno"
"5707","Koffel Brininger Nesbitt","$11600","$0","$11600","Bernie Moreno"
"5708","Whisenhunt Investments","$6800","$0","$6800","Jan Morgan"
"5709","BSR Real Estate Investment Trust","$5800","$0","$5800","Jan Morgan"
"5710","Duke Family Lmtd","$5800","$0","$5800","Jan Morgan"
"5711","Florida Marine Transporters","$2900","$0","$2900","Jan Morgan"
"5712","Technology Edge","$2500","$0","$2500","Jan Morgan"
"5713","Schaller Corp","$1500","$0","$1500","Jan Morgan"
"5714","Walmart Inc","$1180","$0","$1180","Jan Morgan"
"5715","Meat Store Owner","$1150","$0","$1150","Jan Morgan"
"5716","Snap On","$1150","$0","$1150","Jan Morgan"
"5717","Jacsil Motors","$1040","$0","$1040","Jan Morgan"
"5718","Operating Engineers Union","$5000","$5000","$0","Brandon Mosely"
"5719","Save Democracy PAC","$5000","$5000","$0","Brandon Mosely"
"5720","Voter Protection Project","$5000","$5000","$0","Brandon Mosely"
"5721","The Collective PAC","$4000","$4000","$0","Brandon Mosely"
"5722","Akonadi Foundation","$2900","$0","$2900","Brandon Mosely"
"5723","California State University","$2900","$0","$2900","Brandon Mosely"
"5724","Cate School","$2900","$0","$2900","Brandon Mosely"
"5725","Eustace-Kwan Family Foundation","$2900","$0","$2900","Brandon Mosely"
"5726","Finland Financial","$2900","$0","$2900","Brandon Mosely"
"5727","Jordan Real Estate Investments","$2900","$0","$2900","Brandon Mosely"
"5728","L-Sync Solutions","$2800","$0","$2800","Patrick Moses"
"5729","Southern Eats","$1300","$0","$1300","Patrick Moses"
"5730","US Dept of Homeland Security","$1165","$0","$1165","Patrick Moses"
"5731","Marvell","$1000","$0","$1000","Patrick Moses"
"5732","Norton Rose Fulbright LLP","$1000","$0","$1000","Patrick Moses"
"5733","Gsa","$650","$0","$650","Patrick Moses"
"5734","Iberia Parish Government","$550","$0","$550","Patrick Moses"
"5735","Bmw Manufacturing","$500","$0","$500","Patrick Moses"
"5736","Greater St Stephen First Church-Bapti","$500","$0","$500","Patrick Moses"
"5737","National Director of Operations-Cfc","$500","$0","$500","Patrick Moses"
"5738","Harvard University","$24150","$0","$24150","Seth Moulton"
"5739","Cross Country Group","$17400","$0","$17400","Seth Moulton"
"5740","Berkshire Partners","$17000","$0","$17000","Seth Moulton"
"5741","Mass General Brigham","$11975","$0","$11975","Seth Moulton"
"5742","Brown Brothers Harriman & Co","$11600","$0","$11600","Seth Moulton"
"5743","Charlesbank Capital Partners","$11600","$0","$11600","Seth Moulton"
"5744","Democracy Engine","$11600","$0","$11600","Seth Moulton"
"5745","Ingleside Investors","$11600","$0","$11600","Seth Moulton"
"5746","Paine Schwartz Partners","$11600","$0","$11600","Seth Moulton"
"5747","High Meadows Foundation","$11200","$0","$11200","Seth Moulton"
"5748","Harvard University","$24150","$0","$24150","Seth Moulton"
"5749","Cross Country Group","$17400","$0","$17400","Seth Moulton"
"5750","Berkshire Partners","$17000","$0","$17000","Seth Moulton"
"5751","Mass General Brigham","$11975","$0","$11975","Seth Moulton"
"5752","Brown Brothers Harriman & Co","$11600","$0","$11600","Seth Moulton"
"5753","Charlesbank Capital Partners","$11600","$0","$11600","Seth Moulton"
"5754","Democracy Engine","$11600","$0","$11600","Seth Moulton"
"5755","Ingleside Investors","$11600","$0","$11600","Seth Moulton"
"5756","Paine Schwartz Partners","$11600","$0","$11600","Seth Moulton"
"5757","High Meadows Foundation","$11200","$0","$11200","Seth Moulton"
"5758","Democracy Engine","$29214","$0","$29214","Frank J Mrvan"
"5759","Cleveland-Cliffs","$13685","$13000","$685","Frank J Mrvan"
"5760","Royal Brush Manufacturing","$13500","$0","$13500","Frank J Mrvan"
"5761","Barnes & Thornburg","$13250","$2500","$10750","Frank J Mrvan"
"5762","New Democrat Coalition","$12900","$10000","$2900","Frank J Mrvan"
"5763","MacAndrews & Forbes","$11750","$10000","$1750","Frank J Mrvan"
"5764","Insulators Union","$10700","$9900","$800","Frank J Mrvan"
"5765","UNITED STEELWORKERS","$10270","$10000","$270","Frank J Mrvan"
"5766","American Assn for Justice","$10250","$10000","$250","Frank J Mrvan"
"5767","Eli Lilly & Co","$10250","$8500","$1750","Frank J Mrvan"
"5768","Mugulusi For Us Senate","$1384","$0","$1384","Moses Mugulusi"
"5769","Big Plate Restaurant Supply","$2000","$0","$2000","Dave Muhlbauer"
"5770","Munger, Tolles & Olson","$2000","$0","$2000","Dave Muhlbauer"
"5771","Lumen Technologies","$1000","$0","$1000","Dave Muhlbauer"
"5772","Nasa","$1000","$0","$1000","Dave Muhlbauer"
"5773","Ortho2","$1000","$0","$1000","Dave Muhlbauer"
"5774","Creative Artists Agency","$500","$0","$500","Dave Muhlbauer"
"5775","Heartland Area Education Agency","$500","$0","$500","Dave Muhlbauer"
"5776","Political Operative","$500","$0","$500","Dave Muhlbauer"
"5777","PurFoods LLC","$500","$0","$500","Dave Muhlbauer"
"5778","University of Minnesota","$500","$0","$500","Dave Muhlbauer"
"5779","Axiom Advisors LLC","$1500","$0","$1500","Douglas Mullenix"
"5780","Galloway Co","$1000","$0","$1000","Douglas Mullenix"
"5781","JPMorgan Chase & Co","$250","$0","$250","Douglas Mullenix"
"5782","Maintainx","$250","$0","$250","Douglas Mullenix"
"5783","Douglas Mullenix for Wisconsin","$10","$0","$10","Douglas Mullenix"
"5784","Hilliary Communications","$58850","$0","$58850","Markwayne Mullin"
"5785","Alliance Resource Partners","$35500","$5500","$30000","Markwayne Mullin"
"5786","Magnum Drilling Services","$26100","$0","$26100","Markwayne Mullin"
"5787","Firstbank","$19650","$0","$19650","Markwayne Mullin"
"5788","Continental Resources","$18610","$5000","$13610","Markwayne Mullin"
"5789","Mike Jordan Co","$17400","$0","$17400","Markwayne Mullin"
"5790","Pathway Services Inc","$17400","$0","$17400","Markwayne Mullin"
"5791","Nordam","$16000","$0","$16000","Markwayne Mullin"
"5792","Quail Creek Bank","$15700","$0","$15700","Markwayne Mullin"
"5793","American Optometric Assn","$15000","$15000","$0","Markwayne Mullin"
"5794","KKR & Co","$49566","$0","$49566","Lisa Murkowski"
"5795","ConocoPhillips","$40350","$10000","$30350","Lisa Murkowski"
"5796","Trident Seafoods","$36250","$3100","$33150","Lisa Murkowski"
"5797","American Israel Public Affairs Cmte","$34000","$10000","$24000","Lisa Murkowski"
"5798","BlackRock Inc","$33700","$10000","$23700","Lisa Murkowski"
"5799","NextEra Energy","$32950","$2500","$30450","Lisa Murkowski"
"5800","NorPAC","$31250","$0","$31250","Lisa Murkowski"
"5801","Blackstone Group","$29700","$0","$29700","Lisa Murkowski"
"5802","Alphabet Inc","$25500","$9000","$16500","Lisa Murkowski"
"5803","Exelon Corp","$25400","$3500","$21900","Lisa Murkowski"
"5804","East Carolina Anesthesia Assoc","$21800","$0","$21800","Greg Murphy"
"5805","Glen Raven Inc","$17400","$0","$17400","Greg Murphy"
"5806","Arkansas Urology","$14000","$0","$14000","Greg Murphy"
"5807","KNOW Bio","$13700","$0","$13700","Greg Murphy"
"5808","Wayne-Sanderson Farms","$13600","$0","$13600","Greg Murphy"
"5809","Ward & Smith","$12525","$2500","$10025","Greg Murphy"
"5810","American Development Corp","$11600","$0","$11600","Greg Murphy"
"5811","CPFRM LLC","$11600","$0","$11600","Greg Murphy"
"5812","Wg Blount Sons Farms","$11600","$0","$11600","Greg Murphy"
"5813","American Israel Public Affairs Cmte","$10900","$7900","$3000","Greg Murphy"
"5814","Blue Cross/Blue Shield","$14500","$14500","$0","Stephanie Murphy"
"5815","Welsh, Carson et al","$13600","$0","$13600","Stephanie Murphy"
"5816","Lockton Companies","$13000","$10000","$3000","Stephanie Murphy"
"5817","Democracy Engine","$12100","$0","$12100","Stephanie Murphy"
"5818","Blackstone Group","$11600","$0","$11600","Stephanie Murphy"
"5819","Cigna Corp","$10000","$10000","$0","Stephanie Murphy"
"5820","Depository Trust & Clearing Corp","$10000","$10000","$0","Stephanie Murphy"
"5821","Duke Energy","$10000","$10000","$0","Stephanie Murphy"
"5822","HCA Inc","$10000","$10000","$0","Stephanie Murphy"
"5823","National Electrical Contractors Assn","$10000","$10000","$0","Stephanie Murphy"
"5824","American Israel Public Affairs Cmte","$97750","$4200","$93550","Patty Murray"
"5825","Amazon.com","$87839","$7000","$80839","Patty Murray"
"5826","Democracy Engine","$68499","$0","$68499","Patty Murray"
"5827","Microsoft Corp","$68096","$10000","$58096","Patty Murray"
"5828","University of Washington","$59416","$0","$59416","Patty Murray"
"5829","EMILY's List","$48133","$10000","$38133","Patty Murray"
"5830","Apollo Global Management","$32700","$7500","$25200","Patty Murray"
"5831","Pfizer Inc","$28349","$7500","$20849","Patty Murray"
"5832","Power Rogers LLP","$27200","$0","$27200","Patty Murray"
"5833","Palantir Technologies","$27100","$0","$27100","Patty Murray"
"5834","Schuff Steel Co","$500","$0","$500","Michael Muscato"
"5835","Terrawest Communities","$500","$0","$500","Michael Muscato"
"5836","Charles Schwab Corp","$250","$0","$250","Michael Muscato"
"5837","Gilead Sciences","$250","$0","$250","Michael Muscato"
"5838","Liberty Maritime","$100","$0","$100","Michael Muscato"
"5839","Home Security","$500","$0","$500","Greg Musselwhite"
"5840","Hsmco","$500","$0","$500","Greg Musselwhite"
"5841","Meridian Capital","$250","$0","$250","Greg Musselwhite"
"5842","Veno Realty Group","$250","$0","$250","Greg Musselwhite"
"5843","J Street","$48358","$1500","$46858","Jerrold Nadler"
"5844","Proskauer Rose","$32200","$0","$32200","Jerrold Nadler"
"5845","Fragomen, Del Rey et al","$29550","$0","$29550","Jerrold Nadler"
"5846","Kreindler & Kreindler","$20800","$0","$20800","Jerrold Nadler"
"5847","Comcast Corp","$19250","$10000","$9250","Jerrold Nadler"
"5848","Covington & Burling","$14550","$7000","$7550","Jerrold Nadler"
"5849","Estee Lauder Companies","$14500","$0","$14500","Jerrold Nadler"
"5850","Hugo Neu Corp","$13600","$0","$13600","Jerrold Nadler"
"5851","Standard Motor Products","$13600","$0","$13600","Jerrold Nadler"
"5852","Allen & Co","$11600","$0","$11600","Jerrold Nadler"
"5853","David Tate","$1550","$0","$1550","Johnny Nalbandian"
"5854","Abkarian & Assoc","$1200","$0","$1200","Johnny Nalbandian"
"5855","Bank of America","$650","$0","$650","Johnny Nalbandian"
"5856","Law Office of Haig B Kazandjian","$500","$0","$500","Johnny Nalbandian"
"5857","Sirmabekian Law Firm","$500","$0","$500","Johnny Nalbandian"
"5858","Texas Instruments","$6050","$0","$6050","Bardia Namdarkhan"
"5859","Centurion American Development Group","$5800","$0","$5800","Bardia Namdarkhan"
"5860","Ent & Sleep Medicine Dallas","$5800","$0","$5800","Bardia Namdarkhan"
"5861","T Wilson & Assoc","$5800","$0","$5800","Bardia Namdarkhan"
"5862","Mordfin Llp","$5300","$0","$5300","Bardia Namdarkhan"
"5863","Associa","$3000","$500","$2500","Bardia Namdarkhan"
"5864","Chalaki Law","$3000","$0","$3000","Bardia Namdarkhan"
"5865","Hcat","$3000","$0","$3000","Bardia Namdarkhan"
"5866","Ari","$2900","$0","$2900","Bardia Namdarkhan"
"5867","Daylight Partners","$2900","$0","$2900","Bardia Namdarkhan"
"5868","Democracy Engine","$13500","$0","$13500","Grace Napolitano"
"5869","American Crystal Sugar","$10000","$10000","$0","Grace Napolitano"
"5870","Carpenters & Joiners Union","$10000","$10000","$0","Grace Napolitano"
"5871","National Union of Healthcare Workers","$10000","$10000","$0","Grace Napolitano"
"5872","Air Line Pilots Assn","$8000","$8000","$0","Grace Napolitano"
"5873","American Council of Engineering Cos","$8000","$8000","$0","Grace Napolitano"
"5874","National Assn of Realtors","$8000","$8000","$0","Grace Napolitano"
"5875","American Israel Public Affairs Cmte","$7900","$7900","$0","Grace Napolitano"
"5876","American Federation of State/Cnty/Munic Employees","$7500","$7500","$0","Grace Napolitano"
"5877","American Assn for Justice","$6000","$6000","$0","Grace Napolitano"
"5878","Biophotas Inc","$4350","$0","$4350","Stewart Navarre"
